Tittle ,Link,Salary,Level,Job description,Requirement,Job
"Đại lý combo du lịch, phòng khách sạn",https://www.facebook.com/groups/tuyendung24hnew/posts/24440036008929283/,thu nhập không dưới 5 triệu/ tháng,Đại lý ,"Mustgo - Thông báo tuyển dụng
𝑪𝒐̂𝒏𝒈 𝒕𝒚 𝒅𝒖 𝒍𝒊̣𝒄𝒉 𝒄𝒐̂̉ 𝒑𝒉𝒂̂̀𝒏 𝒍𝒊𝒆̂𝒏 𝒎𝒊𝒏𝒉 𝑽𝒊𝒆̣̂𝒕 𝑵𝒂𝒎
Vị trí: Đại lý combo du lịch, phòng khách sạn (Giá siêu ưu đãi)
Thời gian: Làm việc online
𝑴𝒐̂ 𝒕𝒂̉:
- Đăng bài bán phòng khách sạn, tour du lịch, vé máy bay,...
- Tư vấn và giải đáp thắc mắc cho khách
- Booking cho khách
𝑸𝒖𝒚𝒆̂̀𝒏 𝒍𝒐̛̣𝒊:
Được training bài bản , hỗ trợ 1:1 24/7 miễn phí
Được cam kết chăm chỉ, thu nhập không dưới 5 triệu/ tháng
Được làm việc ở 1 hệ thống chuyên nghiệp hàng đầu
Được cung cấp tất cả các sản phẩm du lịch giá tốt nhất thị trường
Được làm việc linh động mọi lúc , mọi nơi
Liên hệ để được tư vấn trực tiếp:
0985744942 (Mr. Bang)",Không yêu cầu,Tư vấn/ Bán hàng/ Kinh doanh /Du lịch
Nhân viên kinh doanh bất động sản ,https://www.facebook.com/groups/tuyendung24hnew/posts/24513006761632207/,Hoa hồng tối thiểu 42 triệu,Nhân viên ,"ACE nào Hà Nội đi làm BDS với mình đi. Làm thêm cũng được. Ở quận nào bán nhà quận đấy. K có kinh nghiệm sẽ hướng dẫn, miễn phí 100%. Giờ giấc thoải mái, k cần lên Cty, k cần ôm hàng, k cần bỏ vốn. HH tối thiểu 42tr. 0966694693",Không yêu cầu kinh nghiệm,Bất động sản/ Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên kinh doanh bất động sản ,https://www.facebook.com/groups/tuyendung24hnew/posts/24572540039012212/,Không đề cập,Nhân viên ,"SAU LỄ ĐI LÀM LUÔN. CẦN TÌM 1 bạn về làm cùng, chăm khách cùng mình. Làm mảng sale Bđs thổ cư HN. Rảnh làm bận nghỉ. K yc kinh nghiệm. Đào tạo miễn phí. Làm tại Ngã Tư Sở + hỗ trợ LC. Ib",Không yêu cầu kinh nghiệm,Bất động sản/ Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên tư vấn chốt đơn,https://www.facebook.com/groups/tuyendung24hnew/posts/24370111835921701/,( 7.𝟎𝟎𝟎.𝟎𝟎𝟎 - 12.𝟎𝟎𝟎.𝟎𝟎𝟎),Nhân viên ,"VĂN PHÒNG XỊN MỊN, ĐIỀU HÒA MÁT LẠNH CẦN GẤP
NHÂN VIÊN TƯ VẤN CHỐT ĐƠN ( 7.𝟎𝟎𝟎.𝟎𝟎𝟎 - 12.𝟎𝟎𝟎.𝟎𝟎𝟎)
- Không yêu cầu kinh nghiệm
- Làm full hoặc xoay ca
Thời gian: 8h00 - 17h30
𝑽𝒂̆𝒏 𝒑𝒉𝒐̀𝒏𝒈 𝒎𝒂́𝒕 𝒎𝒆̉, 𝒂̆𝒏 𝒉𝒐𝒂 𝒒𝒖𝒂̉ 𝒉𝒂̀𝒏𝒈 𝒏𝒈𝒂̀𝒚, đ𝒐̂̀𝒏𝒈 𝒏𝒈𝒉𝒊𝒆̣̂𝒑 𝒗𝒖𝒊 𝒗𝒆̉
Đ𝒐́𝒏𝒈 𝑩𝑯𝑿𝑯, 𝒕𝒉𝒖̛𝒐̛̉𝒏𝒈 𝒍𝒆̂̃, 𝒕𝒆̂́𝒕,𝒔𝒏, 𝒉𝒊𝒆̂́𝒖 𝒉𝒚̉...
Phụ cấp ăn trưa, vé xe, chuyên cần, sinh nhât,..
- Tháng làm 26 ngày công, nghỉ 4 buổi
- Cơ hội thăng tiến ( leader , TP)
Đ𝒊̣𝒂 𝒄𝒉𝒊̉: Phạm văn Đồng, Cổ nhuế 1, HN
𝑸𝒖𝒂𝒏 𝒕𝒂̂𝒎 𝒊𝒃 𝒏𝒉𝒂̣̂𝒏 𝑱𝑫 0868607893 Hà / Linh","Không yêu cầu kinh nghiệm
Làm full hoặc xoay ca",Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên tư vấn ,https://www.facebook.com/groups/tuyendung24hnew/posts/24424244943841723/,9 - 15 M + thưởng nóng + 6-12% DS,Nhân viên ,"NHÂN VIÊN TƯ VẤN 
Thu nhập:
9 - 15 M + thưởng nóng + 6-12% DS
𝙔ê𝙪 𝙘ầ𝙪:
18 - 30 tuổi trở lên
Có laptop
Siêng năng, trung thực, thái độ tốt
𝙌𝙪𝙮ề𝙣 𝙡ợ𝙞 :
• Được làm việc trong môi trường năng động, trẻ trung,
đồng nghiệp thân thiện.
• Được đào tạo free
• Thưởng Lễ, Tết + nghỉ phép năm
• Đóng BHXH sau 2 tháng làm việc
==============
Địa chỉ: Mỹ Đình, Nam Từ Liêm, Hà Nội
Ứng tuyển gửi CV về mail: nhunghr0904@gmail.com","18-30 tuổi trở lên 
Có laptop
Siêng năng, trung thực, thái độ tốt",Tư vấn/ Dịch vụ khách hàng
Trợ lý nhân sự ,https://www.facebook.com/groups/tuyendung24hnew/posts/24441721272094090/,5-7M+ thưởng,Trợ lý,"𝐆𝐎́𝐂 𝐕𝐔̛̀𝐀 Đ𝐈 𝐇𝐎̣𝐂 𝐕𝐔̛̀𝐀 Đ𝐈 𝐋𝐀̀𝐌
        𝐊𝐡𝐨̂𝐧𝐠 𝐲𝐞̂𝐮 𝐜𝐚̂̀𝐮 𝐤𝐢𝐧𝐡 𝐧𝐠𝐡𝐢𝐞̣̂𝐦
Vị trí tuyển dụng
- Trợ lý nhân sự lương cb 5-7M+ thưởng
- Nhân viên kinh doanh lương cb 10-15M +%hh+thưởng.
Thời gian làm việc part time hoặc full time : <buổi sáng 9-11h30, buổi chiều 13h30-17h>
Môi trường gen z năng động, chuyên nghiệp, cạnh tranh công bằng
Hỗ trợ dấu thực tập cho sinh viên
Thường xuyên có hoạt động trải nghiệm, du lịch không kịp sắm đồ!!
Uv quan tâm gửi cv về: 
huyentranglechubb@gmail.com",Không yêu cầu kinh nghiệm,Nhân sự/Hành chính/Thư ký
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/posts/24441721272094090/, lương cơ bản 10-15M +%hoa hồng+thưởng.,Nhân viên ,"𝐆𝐎́𝐂 𝐕𝐔̛̀𝐀 Đ𝐈 𝐇𝐎̣𝐂 𝐕𝐔̛̀𝐀 Đ𝐈 𝐋𝐀̀𝐌
        𝐊𝐡𝐨̂𝐧𝐠 𝐲𝐞̂𝐮 𝐜𝐚̂̀𝐮 𝐤𝐢𝐧𝐡 𝐧𝐠𝐡𝐢𝐞̣̂𝐦
Vị trí tuyển dụng
- Trợ lý nhân sự lương cb 5-7M+ thưởng
- Nhân viên kinh doanh lương cb 10-15M +%hh+thưởng.
Thời gian làm việc part time hoặc full time : <buổi sáng 9-11h30, buổi chiều 13h30-17h>
Môi trường gen z năng động, chuyên nghiệp, cạnh tranh công bằng
Hỗ trợ dấu thực tập cho sinh viên
Thường xuyên có hoạt động trải nghiệm, du lịch không kịp sắm đồ!!
Uv quan tâm gửi cv về: 
huyentranglechubb@gmail.com",Không yêu cầu kinh nghiệm,Tư vấn/ Bán hàng/ Kinh doanh 
Nhân sự bán hàng ,https://www.facebook.com/groups/tuyendung24hnew/posts/24443120871954130/,6tr —> 10tr,Nhân viên ,"#TUYỂNGẤP
TUYỂN DỤNG GẤP NHÂN SỰ BÁN HÀNG 
ĐỊA CHỈ: DUY TÂN, CẦU GIẤY
CÔNG VIỆC: trực chat trả lời tin nhắn khách hàng theo mẫu có sẵn
YÊU CẦU: 
- Tuổi từ 18 - 25
- Chăm chỉ, trung thực 
- Không yêu cầu kinh nghiệm 
Thu nhập từ 6tr —> 10tr
KHÔNG QUA MÔI GIỚI
Ib ngay để nhận được công việc sớm nhất
LH: 0389230087.","- Tuổi từ 18 - 25
- Chăm chỉ, trung thực 
- Không yêu cầu kinh nghiệm ",Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên trực fanpage tư vấn ,https://www.facebook.com/groups/tuyendung24hnew/posts/24477742991825251/,Không đề cập,Nhân viên ,"Tuyển gấp 5 bạn nữ trực page tư vấn chốt đơn full+ part
Làm việc tại mỹ đình
Quan tâm ib chị tư vấn",Không yêu cầu ,"Tư vấn/ Tiếp thị trực tuyến/ Quảng cáo / Đối ngoại / Truyền Thông
"
Nhân viên tư vấn ,https://www.facebook.com/groups/tuyendung24hnew/posts/24494917456774471/,"Lương cứng:7,4tr + hoa hồng+ thưởng
( hoa hồng không giới hạn,hưởng % hoa hồng cao).",Nhân viên ,"NHÂN VIÊN TƯ VẤN TẠI VĂN PHÒNG :
Lương cứng:7,4tr + hoa hồng+ thưởng
( hoa hồng không giới hạn,hưởng % hoa hồng cao).
-  Thời gian làm việc: 8h10- 5h45 ( Nghỉ T7 và CN)
- Nghỉ phép 12 ngày/ năm
Quyền lợi
- Công ty hỗ trợ ăn trưa
- Môi trường trẻ, thỏa mãn đam mê làm việc
- Được đào tạo bài bản về công việc, không yêu cầu kinh nghiệm.
- Được tham gia các hoạt động teambullding, sinh nhật hàng tháng
 - Được đi du lịch hàng năm cùng công ty
Đặc biệt:Sếp trẻ,vui vẻ,hoà đồng!
Mô tả công việc:
- Gọi điện Tư vấn khách hàng .
 - Có data công ty cung cấp.
Yêu cầu: 
- Có lap top cá nhân. 
- Làm Full time
 -----------------------
Địa chỉ: Nguyễn Trãi - Thanh Xuân - Hà Nội
Liên hệ:Vui lòng ib fb nhé","- Có lap top cá nhân. 
- Làm Full time",Tư vấn/ Dịch vụ khách hàng
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/posts/24573425035590379/,"Parttime : 4 triệu
Fulltime : 8 triệu ( Ưu tiên full-time )",Nhân viên ,"TUYỂN NHÂN VIÊN KINH DOANH 
KHU VỰC: DUY TÂN - CẦU GIẤY - HÀ NỘI.
Thời gian làm việc 
Ca sáng : 9h-12h .
Ca chiều : 13h30-17h30 .
Fulltime : 9h - 17h30 .
…
THU NHẬP MỖI CA 
Parttime : 4 triệu
Fulltime : 8 triệu ( Ưu tiên full-time )
…
Yêu cầu : Nam nữ trên 18 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực .
Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái .
Được nghỉ chủ nhật .
…
NBOX NGAY ĐỂ NHẬN CÔNG VIỆC VÀ NHẬN LỊCH PHỎNG VẤN SỚM NHẤT
___Không qua trung gian___","Nam nữ trên 18 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực .
Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái .",Tư vấn/ Bán hàng/ Kinh doanh 
Nhân viên ,https://www.facebook.com/groups/tuyendung24hnew/posts/24411053425160875/,𝗟𝘂̛𝗼̛𝗻𝗴 𝘁𝗵𝘂̛̉ 𝘃𝗶𝗲̣̂𝗰: 𝟴𝘁𝗿𝟰𝟭𝟬 + thưởng + % hoa hồng,Nhân viên ,"KHÔNG YÊU CẦU KINH NGHIỆM ✨
𝗟𝘂̛𝗼̛𝗻𝗴 𝘁𝗵𝘂̛̉ 𝘃𝗶𝗲̣̂𝗰: 𝟴𝘁𝗿𝟰𝟭𝟬 + thưởng + % hoa hồng
Data KH có sẵn
Yêu cầu:
- Có laptop cá nhân
Thời gian: 8h15 - 17h45 (Thứ 2 sáng thứ7 )
Nghỉ 1 ngày phép bất kỳ và các ngày lễ tết.
Cơ hội thăng tiến Leader, Manager theo năng lực.
Đ𝒊̣𝒂 𝒄𝒉𝒊̉: Mễ Trì - Mỹ Đình
L/H: 098. 1221. 168 hoặc (da nô)","Không yêu cầu kinh nghiệm
Có laptop cá nhân",Tư vấn/ Bán hàng/ Kinh doanh 
Chuyên viên tư vấn (Telesale),https://www.facebook.com/groups/tuyendung24hnew/posts/24411053425160875/,- 𝐋ương cứng+ Phụ cấp + % 𝐃𝐨𝐚𝐧𝐡 𝐬𝐨̂́ + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 -> Tổng TN: 10-15tr,Chuyên viên ,"𝚃𝚄𝚈Ể𝙽 𝙶Ấ𝙿 𝙲𝙷𝚄𝚈Ê𝙽 𝚅𝙸Ê𝙽 𝚃Ư 𝚅Ấ𝙽 (𝚃𝙴𝙻𝙴𝚂𝙰𝙻𝙴) 
----------------------------------------------------------
𝐓𝐡𝐮 𝐧𝐡𝐚̣̂𝐩:
- 𝐋𝐂 + Phụ cấp + % 𝐃𝐨𝐚𝐧𝐡 𝐬𝐨̂́ + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 -> Tổng TN: 10-15tr
𝐂𝐨̂𝐧𝐠 𝐯𝐢𝐞̣̂𝐜 :
- Tư vấn qua điện thoại, làm việc tại văn phòng
- Giới thiệu, tư vấn dịch vụ đến khách hàng về dịch vụ và sản phẩm theo kịch bản có sẵn
- Không yêu cầu kinh nghiệm, được đào tạo thử việc full 100% lương ( KHÔNG ÁP DOANH SỐ )
𝐓𝐡𝐨̛̀𝐢 𝐠𝐢𝐚𝐧 :
8h15 - 17h30 (Nghỉ trưa 1h30')
𝐐𝐮𝐲𝐞̂̀𝐧 𝐥𝐨̛̣𝐢 :
- Được đào tạo bài bản, chuyên nghiệp.
- 1 tháng được nghỉ 4 ngày
- Tổ chức sinh nhật, du lịch, liên hoan 1 tháng 1 lần, Teambuiding...
𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 :
- Có laptop
Địa chỉ: Khương Trung, Thanh Xuân, Hà Nội.
Inbox để biết thêm chi tiết công việc","- Không yêu cầu kinh nghiệm, được đào tạo thử việc full 100% lương ( KHÔNG ÁP DOANH SỐ )",Tư vấn/ Dịch vụ khách hàng
Nhân viên bán hàng ,https://www.facebook.com/groups/tuyendung24hnew/posts/24440220175577533/,Thu nhập : >8tr,Nhân viên ,"
Tuyển dụng nữ bán hàng! 
Thu nhập : >8tr
Địa điểm : Xuân Đỉnh ( các khu vực lân cận )
Thời gian : Hành Chính ( nghỉ tất cả chủ nhật và ngày lễ )
Chế độ : theo chế độ nhà nước ( bảo hiểm,ngày lễ...)
Yêu cầu : N.ữ 18-50t
Liên hệ: Mr.Chỉnh : 037362029 ( zalo ) hoặc IB","Không yêu cầu kinh nghiệm
Yêu cầu : N.ữ 18-50t",Tư vấn/ Bán hàng/ Kinh doanh 
